epoch,loss,top1_accuracy,top5_accuracy,val_loss,val_top1_accuracy,val_top5_accuracy
8,2.0286448001861572,0.5360924005508423,0.7558679580688477,3.0285630226135254,0.31928712129592896,0.6470494866371155
9,1.1469402313232422,0.6962244510650635,0.9032078981399536,2.520505666732788,0.3935445547103882,0.7268514633178711
10,0.9541273713111877,0.7394587397575378,0.9310495257377625,2.4405386447906494,0.41754454374313354,0.7485148310661316
11,0.8277058601379395,0.7695181369781494,0.9440000057220459,2.437380313873291,0.4230099022388458,0.7517623901367188
12,0.7438724040985107,0.7902310490608215,0.9551815390586853,2.5433948040008545,0.423643559217453,0.7447524666786194
13,0.6742726564407349,0.8069438934326172,0.9624818563461304,2.4253532886505127,0.4508515000343323,0.7623366117477417
14,0.6148838400840759,0.8215577602386475,0.9673795104026794,2.433377265930176,0.4502970278263092,0.7602772116661072
15,0.5691971182823181,0.8343102335929871,0.972052812576294,2.5216000080108643,0.4454653561115265,0.7550098896026611
16,0.5320698022842407,0.8441452383995056,0.9757491946220398,2.5968031883239746,0.4405544698238373,0.7516435384750366
17,0.48718106746673584,0.8552079200744629,0.9796963930130005,2.3565216064453125,0.47370296716690063,0.7763564586639404
18,0.45470431447029114,0.86469966173172,0.9817689657211304,2.2506179809570312,0.4827722907066345,0.781386137008667
19,0.42708057165145874,0.8715511560440063,0.9841452240943909,2.0691208839416504,0.5150890946388245,0.8057029843330383
